Date : 2022-04-14 16:04:54
Directory : d:\CodeArea\Other\NewsApp\news
Total : 692 files,  71463 codes, 14669 comments, 5960 blanks, all 92092 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\readMore.js                                          | JavaScript         |         12 |         10 |          1 |         23 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\row.js                                               | JavaScript         |          7 |         10 |          1 |         18 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\rowNotice.js                                         | JavaScript         |         11 |         10 |          1 |         22 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\scrollList.js                                        | JavaScript         |         10 |         10 |          1 |         21 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\search.js                                            | JavaScript         |         27 |         10 |          1 |         38 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\section.js                                           | JavaScript         |         14 |         10 |          1 |         25 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\skeleton.js                                          | JavaScript         |         15 |         10 |          1 |         26 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\slider.js                                            | JavaScript         |         15 |         10 |          1 |         26 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\statusBar.js                                         | JavaScript         |          5 |         10 |          1 |         16 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\steps.js                                             | JavaScript         |         11 |         10 |          1 |         22 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\stepsItem.js                                         | JavaScript         |          8 |         10 |          1 |         19 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\sticky.js                                            | JavaScript         |         10 |         10 |          1 |         21 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\subsection.js                                        | JavaScript         |         13 |         10 |          1 |         24 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\swipeAction.js                                       | JavaScript         |          5 |         10 |          1 |         16 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\swipeActionItem.js                                   | JavaScript         |         11 |         10 |          1 |         22 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\swiper.js                                            | JavaScript         |         28 |         10 |          2 |         40 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\swipterIndicator.js                                  | JavaScript         |          9 |         10 |          1 |         20 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\switch.js                                            | JavaScript         |         14 |         10 |          1 |         25 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\tabbar.js                                            | JavaScript         |         12 |         10 |          1 |         23 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\tabbarItem.js                                        | JavaScript         |         10 |         10 |          1 |         21 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\tabs.js                                              | JavaScript         |         21 |         10 |          1 |         32 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\tag.js                                               | JavaScript         |         19 |         10 |          1 |         30 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\text.js                                              | JavaScript         |         27 |         10 |          2 |         39 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\textarea.js                                          | JavaScript         |         26 |         10 |          1 |         37 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\toast.js                                             | JavaScript         |         19 |         10 |          2 |         31 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\toolbar.js                                           | JavaScript         |         10 |         10 |          2 |         22 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\tooltip.js                                           | JavaScript         |         15 |         10 |          1 |         26 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\transition.js                                        | JavaScript         |          8 |         10 |          1 |         19 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\props\upload.js                                            | JavaScript         |         26 |         10 |          1 |         37 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\config\zIndex.js                                                  | JavaScript         |         10 |          9 |          2 |         21 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\css\color.scss                                                    | SCSS               |        117 |          0 |         39 |        156 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\css\common.scss                                                   | SCSS               |         66 |         19 |         13 |         98 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\css\components.scss                                               | SCSS               |         10 |          4 |          2 |         16 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\css\flex.scss                                                     | SCSS               |        149 |         56 |         53 |        258 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\css\h5.scss                                                       | SCSS               |          0 |          0 |          1 |          1 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\css\mixin.scss                                                    | SCSS               |          4 |          4 |          1 |          9 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\css\mp.scss                                                       | SCSS               |          0 |          0 |          1 |          1 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\css\nvue.scss                                                     | SCSS               |          0 |          0 |          1 |          1 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\css\vue.scss                                                      | SCSS               |         20 |          5 |          2 |         27 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\function\colorGradient.js                                         | JavaScript         |        106 |         21 |          8 |        135 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\function\debounce.js                                              | JavaScript         |         16 |         11 |          3 |         30 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\function\digit.js                                                 | JavaScript         |         89 |         56 |         23 |        168 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\function\index.js                                                 | JavaScript         |        454 |        212 |         40 |        706 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\function\platform.js                                              | JavaScript         |         18 |         39 |         19 |         76 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\function\test.js                                                  | JavaScript         |        165 |         95 |         29 |        289 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\function\throttle.js                                              | JavaScript         |         20 |         10 |          1 |         31 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\adapters\index.js                                    | JavaScript         |         68 |         28 |          2 |         98 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\core\InterceptorManager.js                           | JavaScript         |         24 |         21 |          6 |         51 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\core\Request.js                                      | JavaScript         |        113 |         59 |         27 |        199 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\core\buildFullPath.js                                | JavaScript         |          9 |          9 |          3 |         21 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\core\defaults.js                                     | JavaScript         |         15 |         13 |          2 |         30 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\core\dispatchRequest.js                              | JavaScript         |          2 |          0 |          2 |          4 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\core\mergeConfig.js                                  | JavaScript         |         64 |         36 |          4 |        104 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\core\settle.js                                       | JavaScript         |          9 |          7 |          1 |         17 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\helpers\buildURL.js                                  | JavaScript         |         50 |          8 |         12 |         70 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\helpers\combineURLs.js                               | JavaScript         |          6 |          7 |          2 |         15 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\helpers\isAbsoluteURL.js                             | JavaScript         |          4 |          9 |          2 |         15 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\index.d.ts                                           | TypeScript         |         89 |         20 |          8 |        117 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\index.js                                             | JavaScript         |          2 |          0 |          2 |          4 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\utils.js                                             | JavaScript         |         58 |         60 |         14 |        132 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\luch-request\utils\clone.js                                       | JavaScript         |        188 |         44 |         33 |        265 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\mixin\button.js                                                   | JavaScript         |         13 |          0 |          1 |         14 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\mixin\mixin.js                                                    | JavaScript         |        113 |         47 |          1 |        161 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\mixin\mpMixin.js                                                  | JavaScript         |          5 |          3 |          1 |          9 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\mixin\mpShare.js                                                  | JavaScript         |         12 |          1 |          1 |         14 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\mixin\openType.js                                                 | JavaScript         |         25 |          0 |          1 |         26 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\mixin\style.js                                                    | JavaScript         |        188 |         39 |          2 |        229 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\mixin\touch.js                                                    | JavaScript         |         57 |          0 |          3 |         60 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\util\async-validator.js                                           | JavaScript         |        905 |        209 |        230 |      1,344 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\util\calendar.js                                                  | JavaScript         |        324 |        184 |         39 |        547 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\util\dayjs.js                                                     | JavaScript         |        307 |          0 |          2 |        309 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\util\emitter.js                                                   | JavaScript         |         29 |         22 |          1 |         52 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\libs\util\route.js                                                     | JavaScript         |         88 |         26 |         11 |        125 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\package.json                                                           | JSON               |         87 |          0 |          1 |         88 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\uview-ui\theme.scss                                                             | SCSS               |         31 |          6 |          8 |         45 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\changelog.md                                                           | Markdown           |         16 |          0 |          1 |         17 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging-empty-view\z-paging-empty-view.vue                 | Vue                |        133 |         19 |          8 |        160 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging-swiper-item\z-paging-swiper-item.vue               | Vue                |         79 |          9 |          4 |         92 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging-swiper\z-paging-swiper.vue                         | Vue                |        126 |         19 |          9 |        154 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\components\z-paging-load-more.vue                  | Vue                |        112 |          8 |         16 |        136 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\components\z-paging-refresh.vue                    | Vue                |        219 |         36 |         17 |        272 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\config\index.js                                    | JavaScript         |          1 |          1 |          1 |          3 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\css\z-paging-main.css                              | CSS                |        134 |         33 |         25 |        192 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\css\z-paging-static.css                            | CSS                |         25 |          3 |          5 |         33 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\modules\back-to-top.js                          | JavaScript         |         96 |         10 |          3 |        109 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\modules\data-handle.js                          | JavaScript         |        601 |         93 |          4 |        698 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\modules\empty.js                                | JavaScript         |        128 |         20 |          3 |        151 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\modules\i18n.js                                 | JavaScript         |         90 |          6 |          3 |         99 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\modules\load-more.js                            | JavaScript         |        269 |         34 |          3 |        306 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\modules\nvue.js                                 | JavaScript         |        178 |         21 |          3 |        202 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\modules\refresher.js                            | JavaScript         |        492 |         94 |          4 |        590 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\modules\scroller.js                             | JavaScript         |        356 |         46 |          6 |        408 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\z-paging-config.js                              | JavaScript         |         21 |          1 |          5 |         27 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\z-paging-constant.js                            | JavaScript         |         12 |          1 |          2 |         15 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\z-paging-enum.js                                | JavaScript         |         25 |          5 |          3 |         33 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\z-paging-i18n.js                                | JavaScript         |        121 |          5 |          9 |        135 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\z-paging-main.js                                | JavaScript         |        521 |         73 |         11 |        605 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\z-paging-mixin.js                               | JavaScript         |         23 |          1 |          3 |         27 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\z-paging-static.js                              | JavaScript         |         20 |          1 |          3 |         24 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\js\z-paging-utils.js                               | JavaScript         |        192 |         20 |         23 |        235 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\wxs\z-paging-renderjs.js                           | JavaScript         |         47 |          4 |          3 |         54 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\wxs\z-paging-wxs.wxs                               | XML                |        301 |          0 |         23 |        324 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\components\z-paging\z-paging.vue                                       | Vue                |        231 |        141 |          3 |        375 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\package.json                                                           | JSON               |         85 |          0 |          0 |         85 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\readme.md                                                              | Markdown           |         29 |          0 |         14 |         43 |
| d:\CodeArea\Other\NewsApp\news\uni_modules\z-paging\z-paging-config.js                                                     | JavaScript         |          4 |          3 |          1 |          8 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\README.md                                                                          | Markdown           |         76 |          7 |         24 |        107 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-action-sheet\u-action-sheet.vue                                       | Vue                |        141 |         42 |          8 |        191 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-alert-tips\u-alert-tips.vue                                           | Vue                |        199 |         37 |         21 |        257 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-avatar-cropper\u-avatar-cropper.vue                                   | Vue                |        231 |         46 |         14 |        291 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-avatar-cropper\weCropper.js                                           | JavaScript         |        928 |        180 |        158 |      1,266 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-avatar\u-avatar.vue                                                   | Vue                |        193 |         42 |         10 |        245 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-back-top\u-back-top.vue                                               | Vue                |        131 |         17 |          6 |        154 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-badge\u-badge.vue                                                     | Vue                |        143 |         57 |         16 |        216 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-button\u-button.vue                                                   | Vue                |        458 |         99 |         40 |        597 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-calendar\u-calendar.vue                                               | Vue                |        547 |         69 |         23 |        639 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-car-keyboard\u-car-keyboard.vue                                       | Vue                |        234 |         10 |         14 |        258 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-card\u-card.vue                                                       | Vue                |        232 |         56 |         12 |        300 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-cell-group\u-cell-group.vue                                           | Vue                |         52 |         13 |          6 |         71 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-cell-item\u-cell-item.vue                                             | Vue                |        236 |         63 |         18 |        317 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-checkbox-group\u-checkbox-group.vue                                   | Vue                |         80 |         40 |          4 |        124 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-checkbox\u-checkbox.vue                                               | Vue                |        216 |         56 |         13 |        285 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-circle-progress\u-circle-progress.vue                                 | Vue                |        168 |         48 |          5 |        221 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-circle-progress\u-line-progress\u-line-progress.vue                   | Vue                |        112 |         25 |         11 |        148 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-col\u-col.vue                                                         | Vue                |        122 |         18 |         17 |        157 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-collapse-item\u-collapse-item.vue                                     | Vue                |        164 |         31 |         11 |        206 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-collapse\u-collapse.vue                                               | Vue                |         73 |         23 |          4 |        100 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-column-notice\u-column-notice.vue                                     | Vue                |        196 |         33 |          9 |        238 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-count-down\u-count-down.vue                                           | Vue                |        251 |         60 |          8 |        319 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-count-to\u-count-to.vue                                               | Vue                |        199 |         38 |          5 |        242 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-divider\u-divider.vue                                                 | Vue                |        114 |         30 |         10 |        154 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-dropdown-item\u-dropdown-item.vue                                     | Vue                |        100 |         30 |          3 |        133 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-dropdown\u-dropdown.vue                                               | Vue                |        223 |         62 |         14 |        299 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-empty\u-empty.vue                                                     | Vue                |        116 |         71 |          7 |        194 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-field\u-field.vue                                                     | Vue                |        304 |         60 |         21 |        385 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-form-item\u-form-item.vue                                             | Vue                |        313 |         92 |         27 |        432 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-form\u-form.vue                                                       | Vue                |         92 |         39 |          4 |        135 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-full-screen\u-full-screen.vue                                         | Vue                |         48 |          0 |          5 |         53 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-gap\u-gap.vue                                                         | Vue                |         39 |         13 |          3 |         55 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-grid-item\u-grid-item.vue                                             | Vue                |         96 |         22 |          9 |        127 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-grid\u-grid.vue                                                       | Vue                |         81 |         23 |          5 |        109 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-icon\u-icon.vue                                                       | Vue                |        247 |         72 |         18 |        337 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-image\u-image.vue                                                     | Vue                |        200 |         62 |          6 |        268 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-index-anchor\u-index-anchor.vue                                       | Vue                |         75 |         10 |          5 |         90 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-index-list\u-index-list.vue                                           | Vue                |        287 |         20 |          9 |        316 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-input\u-input.vue                                                     | Vue                |        300 |         75 |         13 |        388 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-keyboard\u-keyboard.vue                                               | Vue                |        156 |         52 |         10 |        218 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-lazy-load\u-lazy-load.vue                                             | Vue                |        173 |         67 |          5 |        245 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-line-progress\u-line-progress.vue                                     | Vue                |        112 |         25 |         11 |        148 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-line\u-line.vue                                                       | Vue                |         60 |         20 |          5 |         85 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-link\u-link.vue                                                       | Vue                |         62 |         24 |          4 |         90 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-loading-page\u-loading-page.vue                                       | Vue                |         18 |          0 |          8 |         26 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-loading\u-loading.vue                                                 | Vue                |         78 |         17 |          9 |        104 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-loadmore\u-loadmore.vue                                               | Vue                |        153 |         41 |         10 |        204 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-mask\u-mask.vue                                                       | Vue                |         96 |         22 |          6 |        124 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-message-input\u-message-input.vue                                     | Vue                |        243 |         48 |         21 |        312 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-modal\u-modal.vue                                                     | Vue                |        218 |         57 |          9 |        284 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-navbar\u-navbar.vue                                                   | Vue                |        235 |         67 |         14 |        316 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-no-network\u-no-network.vue                                           | Vue                |        207 |         16 |         11 |        234 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-notice-bar\u-notice-bar.vue                                           | Vue                |        203 |         59 |         11 |        273 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-number-box\u-number-box.vue                                           | Vue                |        283 |         71 |         10 |        364 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-number-keyboard\u-number-keyboard.vue                                 | Vue                |        141 |          9 |          9 |        159 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-parse\libs\CssHandler.js                                              | JavaScript         |         97 |          1 |          3 |        101 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-parse\libs\MpHtmlParser.js                                            | JavaScript         |        547 |         32 |          2 |        581 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-parse\libs\config.js                                                  | JavaScript         |         60 |         16 |          5 |         81 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-parse\libs\handler.wxs                                                | XML                |         22 |          0 |          1 |         23 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-parse\libs\trees.vue                                                  | Vue                |        426 |         42 |         38 |        506 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-parse\u-parse.vue                                                     | Vue                |        521 |        119 |          6 |        646 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-picker\u-picker.vue                                                   | Vue                |        570 |         91 |         16 |        677 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-popup\u-popup.vue                                                     | Vue                |        356 |         81 |         20 |        457 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-radio-group\u-radio-group.vue                                         | Vue                |         86 |         39 |          4 |        129 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-radio\u-radio.vue                                                     | Vue                |        209 |         50 |         13 |        272 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-rate\u-rate.vue                                                       | Vue                |        213 |         56 |          7 |        276 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-read-more\u-read-more.vue                                             | Vue                |        145 |         27 |          8 |        180 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-row-notice\u-row-notice.vue                                           | Vue                |        231 |         28 |         11 |        270 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-row\u-row.vue                                                         | Vue                |         62 |         18 |          5 |         85 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-search\u-search.vue                                                   | Vue                |        259 |         73 |         11 |        343 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-section\u-section.vue                                                 | Vue                |        119 |         27 |          9 |        155 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-select\u-select.vue                                                   | Vue                |        321 |         82 |         15 |        418 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-skeleton\u-skeleton.vue                                               | Vue                |        147 |         46 |          7 |        200 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-slider\u-slider.vue                                                   | Vue                |        199 |         50 |          9 |        258 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-steps\u-steps.vue                                                     | Vue                |        162 |         21 |         18 |        201 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-sticky\u-sticky.vue                                                   | Vue                |        129 |         24 |          5 |        158 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-subsection\u-subsection.vue                                           | Vue                |        288 |         58 |         10 |        356 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-swipe-action\u-swipe-action.vue                                       | Vue                |        206 |         42 |          8 |        256 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-swiper\u-swiper.vue                                                   | Vue                |        271 |         53 |         17 |        341 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-switch\u-switch.vue                                                   | Vue                |        127 |         27 |         10 |        164 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-tabbar\u-tabbar.vue                                                   | Vue                |        271 |         47 |         13 |        331 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-table\u-table.vue                                                     | Vue                |         61 |         20 |          4 |         85 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-tabs-swiper\u-tabs-swiper.vue                                         | Vue                |        385 |         84 |         20 |        489 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-tabs\u-tabs.vue                                                       | Vue                |        270 |         89 |         11 |        370 |
| d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-tag\u-tag.vue                                                         | Vue                |        223 |         44 |         28 |        295 |
